track_id,artist,track_name,sound
M143,The Vaccines,If You Wanna,"Indie Rock/Post-Punk Revival / Stage 1: Direct, energetic, nonchalant. Casual, take-it-or-leave-it attitude."
M144,Death Cab for Cutie,Soul Meets Body,"Indie Rock/Pop / Stage 2: Yearning for something more profound, 'need' for a holistic, meaningful experience."
M145,The Wombats,Let's Dance to Joy Division,"Indie Rock/Dance-Punk / Stage 3: Energetic, manic, finding connection (even ironically) on a night out."
M146,Interpol,Evil,"Post-Punk Revival/Indie Rock / Stage 4: Dark, atmospheric, obsessive. Internal 'search', anxieties, challenges."
M147,Bright Eyes,First Day Of My Life,"Indie Folk/Singer-Songwriter / Stage 5: Direct, heartfelt realization. 'Found' her, feels like a new beginning."
M148,MGMT,Electric Feel,"Psychedelic Pop/Indie Pop / Stage 6: Smooth, trippy, sensual. 'Taking' plunge into deeper, intoxicating phase."
M149,Phoenix,1901,"Indie Pop/Alternative Dance / Stage 7: Nostalgic yet forward-looking. 'Returned', life viewed through this partnership."
M150,The National,I Need My Girl,"Indie Rock/Baroque Pop / Stage 8: Somber but deep admission of dependence. Mature understanding of vulnerability as strength."
M151,The Strokes,Last Nite,"Garage Rock Revival/Indie Rock / Stage 1: Cool, detached, casual encounters, aimless night out."
M152,Yeah Yeah Yeahs,Maps,"Indie Rock/Art Punk / Stage 2: (His POV) Raw plea, 'need' for this unique connection to be known/reciprocated."
M153,The Rapture,House of Jealous Lovers,"Dance-Punk/Post-Punk Revival / Stage 3: High-energy, frenetic, edgy. 'Going' for it in a chaotic social setting."
M154,Modest Mouse,Float On,"Indie Rock / Stage 4: Resilience amidst challenges. 'Search' involves navigating difficulties, trying to 'float on'."
M155,Arcade Fire,The Suburbs,"Indie Rock/Art Rock / Stage 5: Nostalgic, reflective. 'Found' someone to anchor to amidst life's changes."
M156,TV On The Radio,Wolf Like Me,"Indie Rock/Art Rock / Stage 6: Passionate, intense. 'Taking' plunge into transformative, all-consuming connection."
M157,Grizzly Bear,Two Weeks,"Indie Rock/Chamber Pop / Stage 7: Sophisticated, melodic. 'Returned' to a stable life defined by partnership."
M158,Fleet Foxes,White Winter Hymnal,"Indie Folk/Chamber Pop / Stage 8: Layered harmonies, reverent. Growth, shared experience, melancholic maturity."
M159,The Hives,Hate To Say I Told You So,"Garage Rock Revival/Punk Rock / Stage 1: Cocky, energetic, playful confrontation. Youthful arrogance."
M160,Kings of Leon,Sex on Fire,"Alternative/Southern Rock / Stage 2: Raw, powerful expression of intense physical attraction. Primal 'need'."
M161,Jet,Are You Gonna Be My Girl,"Garage Rock Revival / Stage 3: High-energy, straightforward, retro. Direct 'go' with rock and roll energy."
M162,Kasabian,Club Foot,"Indie Rock/Electronic Rock / Stage 4: Driving, stomping, ominous. Navigating challenging 'search' with determination."
M163,Ben Folds Five,Brick,"Alternative Rock/Piano Rock / Stage 5: Facing serious life event 'finds' profound value of their bond and support."
M164,The Shins,New Slang,"Indie Pop/Folk-Rock / Stage 6: Gentle, wistful acceptance of change. 'Taking' step into different, meaningful existence."
M165,Paolo Nutini,New Shoes,"Blue-Eyed Soul/Pop-Rock / Stage 7: Upbeat, optimistic. 'Returned' to daily life, everything feels brighter."
M166,George Ezra,Budapest,"Folk-Pop/Indie Folk / Stage 8: Charming, whimsical declaration. 'Change' shown in prioritizing relationship."
M167,The Prodigy,Firestarter,"Big Beat/Electronic Punk / Stage 1: Raw, energetic, rebellious. Immediate energy for a night out with mates."
M168,Massive Attack,Teardrop,"Trip-Hop/Electronic / Stage 2: (Instrumental feel) Melancholic, atmospheric. Subtle, unconscious 'need' for something more."
M169,Daft Punk,Around The World,"French House/Electronic / Stage 3: Repetitive, hypnotic, driving. Focused, single-minded energy of pursuit."
M170,Aphex Twin,Windowlicker,"IDM/Experimental Electronic / Stage 4: Complex, unsettling. 'Search' is confusing, challenging, deeply reflective."
M171,The Chemical Brothers,Galvanize,"Big Beat/Electronic / Stage 5: Energetic, declarative. 'Finds' connection, it's electrifying. Realization of power."
M172,LCD Soundsystem,Dance Yrself Clean,"Dance-Punk/Electronic / Stage 6: Starts reserved, builds to explosive release. 'Taking' step, shedding inhibitions."
M173,Air,Sexy Boy,"French Electronic/Downtempo / Stage 7: Smooth, confident, playful. 'Returned' with new suave and self-assuredness."
M174,New Order,True Faith,"Synth-Pop/Alternative Dance / Stage 8: Uplifting, anthemic. 'Change' marked by newfound optimism and mature belief."
M175,Fatboy Slim,The Rockafeller Skank,"Big Beat/Electronic / Stage 1: Funky, infectious, cheeky. Energetic, mischievous antics on a night out."
M176,Boards of Canada,Music Is Math,"IDM/Ambient Electronic / Stage 2: Nostalgic, melancholic. Internal stirring, perceiving deeper pattern to connections."
M177,Justice,D.A.N.C.E.,"French House/Electronic / Stage 3: Upbeat, infectious, direct invitation. Energetic, enthusiastic approach."
M178,Underworld,Born Slippy .NUXX,"Techno/Progressive House / Stage 4: Intensity, disorientation. 'Search' through highs, lows, chaotic self-discovery."
M179,Moby,Porcelain,"Ambient/Downtempo Electronic / Stage 5: Reflective, serene. 'Finds' peace, realizing delicate value of connection."
M180,The Human League,Don't You Want Me,"Synth-Pop / Stage 6: (His POV post-success) New vulnerability, plea for connection to endure. Embracing stakes."
M181,Pet Shop Boys,West End Girls,"Synth-Pop / Stage 7: Observational, cool. 'Returned' to urban environment with partner, mature perspective."
M182,Brian Eno,Music for Airports 1/1 (excerpt),"Ambient Electronic / Stage 8: Profound peace, spaciousness. 'Change' is deep, internal. Mature serenity."
